rn,Fruit_vege_r,Smoking_r,Smoking_number_r,Med_HT_r,Med_HL_r,Med_DM_r,PA_days_r,BMI_r,HbA1c_r,LDLc_r,SBP_r
Fruit_vege_r,1,-0.0676115336412366,-0.0259444015504033,-0.00806465241685911,0.00177517632253586,-0.00314610352823185,0.0180199751897209,0.00874892585512965,0.00660337490711867,-0.00234029590061123,-0.0124432548569119
Smoking_r,-0.0676115336412366,1,0,-0.0260793715220912,-0.0636831563643108,-0.0502861752364458,-0.0109935868007399,0.00531714817417798,-0.00250992965701874,0.000105918427115237,0.00741433057683917
Smoking_number_r,-0.0259444015504033,0,1,0.00551220002870207,0.00455510236515873,0.00620687743883376,-0.00530407431905709,0.0189100525796478,0.00190364278195017,0.00226193759061573,0.00588228410921253
Med_HT_r,-0.00806465241685911,-0.0260793715220912,0.00551220002870207,1,0.277426385907853,0.275698392478117,-0.0162053454326106,0.091768391195388,0.00101450732294318,-0.0318338743076464,-0.0065455481410136
Med_HL_r,0.00177517632253586,-0.0636831563643108,0.00455510236515873,0.277426385907853,1,0.540215400888693,-0.011815654985054,0.0276890209486165,0.0170903916800042,-0.00252523662598454,-0.0011834427155125
Med_DM_r,-0.00314610352823185,-0.0502861752364458,0.00620687743883376,0.275698392478117,0.540215400888693,1,-0.0231737013214018,0.022575770477061,-0.00308084382779802,-0.0104827630116486,0.0105443995822355
PA_days_r,0.0180199751897209,-0.0109935868007399,-0.00530407431905709,-0.0162053454326106,-0.011815654985054,-0.0231737013214018,1,-0.00896490150379997,0.00267133158820711,-0.0014119362867337,-0.00369205238960031
BMI_r,0.00874892585512965,0.00531714817417798,0.0189100525796478,0.091768391195388,0.0276890209486165,0.022575770477061,-0.00896490150379997,1,0.00140055806763785,0.000197270395343914,-0.0011662276375667
HbA1c_r,0.00660337490711867,-0.00250992965701874,0.00190364278195017,0.00101450732294318,0.0170903916800042,-0.00308084382779802,0.00267133158820711,0.00140055806763785,1,0.0214840992145801,0.00482367078738644
LDLc_r,-0.00234029590061123,0.000105918427115237,0.00226193759061573,-0.0318338743076464,-0.00252523662598454,-0.0104827630116486,-0.0014119362867337,0.000197270395343914,0.0214840992145801,1,0.0101738392380701
SBP_r,-0.0124432548569119,0.00741433057683917,0.00588228410921253,-0.0065455481410136,-0.0011834427155125,0.0105443995822355,-0.00369205238960031,-0.0011662276375667,0.00482367078738644,0.0101738392380701,1
